Name,Date,Age,Expedition,Nationality,Cause of death,Location,Age_outlier
Tsewang Samanla,"May 11, 1996",38.0,Indo-Tibetan Border Police,India,Exposure,8600m N.E. Ridge,False
Reinhard Wlasich,"May 19, 1996",38.0,Austrian,Austria,Altitude sickness,"8300m North Face, Great Couloir",True
Bruce Herrod,"May 25, 1996",37.0,South African/British,United Kingdom,Rope accident,"S.E. Ridge, Hillary Step",False
Ngawang Topche,"June 6, 1996",38.0,American,Nepal,Lapsed into coma on 23 Apr 1996; later died in hospital,Camp II,True
Yves Bouchon,"September 25, 1996",38.0,French/Belgian/Swiss,France,Avalanche,7400m Lhotse Face,True
Lopsang Jangbu,"September 25, 1996",24.0,Japanese,Nepal,Avalanche,7400m Lhotse Face,False
Dawa,"September 25, 1996",38.0,South Korea,Nepal,Avalanche,7400m Lhotse Face,True
Malcolm Duff,"April 23, 1997",38.0,British,United Kingdom,Heart attack (at Base camp),Base Camp,True
Nima Rinzi,"May 6, 1997",38.0,Malaysian,United Kingdom,Fall,Lhotse Face,True
Aleksandr Torochin,"May 7, 1997",38.0,Russian,Russia,Fall,8400m N.E. Ridge,True
Ivan Plotnikov,"May 7, 1997",38.0,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge,True
Nikolai Shevtchenko,"May 7, 1997",38.0,Russian,Russia,Exhaustion and/or exposure,8700m N.E. Ridge,True
Mingma,"May 7, 1997",38.0,Russian,Nepal,Fall,N.E. Ridge,True
Peter Kowalzik,"May 8, 1997",38.0,Polish,Germany,Disappearance (likely accidental death during climb),N.E. Ridge,True
Tenzing Nuru,"September 8, 1997",38.0,American,Nepal,Disappearance (likely accidental death during climb),S.E. Ridge,True
Choi Byong-soo,"September 8, 1997",38.0,South Korean,South Korea,Avalanche,North Col Flank,True
Sergei Arsentiev,"May 24, 1998",38.0,Russian/French,United States,100m fall,N.E. Ridge,True
Francys Arsentiev,"May 24, 1998",40.0,Russian/French,United States,Exposure and/or cerebral oedema,N.E. Ridge,False
Mark Jennings,"May 25, 1998",38.0,British,United Kingdom,Exhaustion,N.E. Ridge,True
Roger Buick,"May 26, 1998",38.0,New Zealand,New Zealand,Exhaustion,N.E. Ridge,True
Shahid Abdul Khader,"July 24, 1998",21.0,Adventure Consultants,India,Died due to fall,North Col,False
Vasyl Kopytko,"May 8, 1999",38.0,Ukrainian,Ukraine,Unknown cause,N.E. Ridge,True
Michael Matthews,"May 13, 1999",22.0,International,United Kingdom,Avalanche,S.E. Ridge,False
Tadeusz Kudelski,"May 18, 1999",44.0,Polish International,Poland,Fall,N.E. Ridge,False
Pascal Debrouwer,"May 18, 1999",29.0,Belgian International,Belgium,Fall,N.E. Ridge,False
Jeppe Stoltz,"May 20, 2000",27.0,Adventure Consultants,Denmark,Fall,N.E. Ridge,False
Yan Genghua,"May 21, 2000",38.0,Chinese,China,"Disappeared after reaching the north summit; body found on May 27, 2000; likely accidental death during descent",N.E. Ridge,True
Babu Chiri Sherpa,"April 29, 2001",35.0,Nepalese,Nepal,Fall,N.E. Ridge,False
Peter Ganner,"May 23, 2001",38.0,Austrian,Austria,Fall,8500m S.E. Ridge,True
Mark Auricht,"May 24, 2001",38.0,Australian,Australia,Cerebral oedema,N.E. Ridge,True
Aleksei Nikiforov,"May 24, 2001",38.0,Russian,Russia,"Pre-existing illness exacerbated by freezing conditions, altitude",8500m N.E. Ridge,True
Sándor Gárdos,"October 17, 2001",38.0,Hungarian,Hungary,Fall,7800m N.E. Ridge,True
Peter Legate,"April 30, 2002",38.0,British International,United Kingdom,Fall into a crevasse,Below Camp III,False
Zoran Miletić,"May 19, 2002",38.0,Russian International,Yugoslavia,Exact cause and date of death unknown,7800m N.E. Ridge,True
Marco Siffredi,"September 8, 2002",23.0,International,France,Snowboarding accident,Hornbein Couloir,False
Bhim Bahadur Gurung,"May 27, 2003",38.0,Indo-Nepal,Nepal,Fall into a crevasse,5900m Icefall,True
Jan Krzysztof Liszewski,"May 25, 2003",55.0,Independent,Poland,Fall,7900m N.E. Ridge,False
Arnaud Saulnier,"May 8, 2003",38.0,French,France,Sickness in tent,5500m S.E. Ridge,True
Karma Gyalzen Sherpa,"May 24, 2003",38.0,International,Nepal,Altitude sickness,6000m S.E. Ridge,True
Joon-ho Baek,"May 18, 2004",38.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,False
Min Jang,"May 18, 2004",28.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,False
Mu-taek Park,"May 18, 2004",36.0,South Korean,South Korea,Exposure,8500m N.E. Ridge,False
Nils Antezana,"May 18, 2004",69.0,International,United States,Exposure,8600m S.E. Ridge,False
Hristo Ganchev Hristov,"May 20, 2004",27.0,Bulgarian,Bulgaria,Exposure,8600m N.E. Ridge,False
Shoko Ota,"May 20, 2004",63.0,Japanese,Japan,Exposure,8600m N.E. Ridge,False
Mariana Prodanova Maslarova,"May 23, 2004",43.0,Bulgarian,Bulgaria,Exposure,8700m N.E. Ridge,False
Sean Egan,"April 28, 2005",63.0,Tim Redpath Expedition,Canada,Heart attack,4600m S.E. Ridge,False
Michael Corey O'Brien[118],"May 2, 2005",39.0,Charity run with brother,United States,Fall into a crevasse,5800m Icefall South,False
Marko Lihteneker,"May 21, 2005",45.0,Adventure Consultants,Slovenia,Oxygen problems,8600m N.E. Ridge,False
Sirigereshiva Shankarappa Chaitanya,"May 30, 2005",38.0,India,India,Exposure,8700m N.E. Ridge,True
Dieter Kramer,"June 4, 2005",38.0,German,Germany,Exposure,8000m N.E.,True
Robert William Milne,"June 5, 2005",49.0,Adventure Consultants,United Kingdom,Organ failure due to freezing conditions,8200m S.E. Ridge,False
Tuk Bahadur Thapa Magar Sherpa,"April 7, 2006",38.0,American,Nepal,Altitude,5500m N.E. Ridge,True
Ang Phinjo Sherpa,"April 21, 2006",50.0,American,Nepal,Avalanche,5900m Icefall,False
Lhakpa Tseri,"April 21, 2006",38.0,American,Nepal,Avalanche,5900m Icefall,True
Dawa Temba,"April 21, 2006",38.0,American,Nepal,Avalanche,5900m Icefall,True
Jacques-Hugues Letrange,"May 6, 2006",38.0,American,France,Exhaustion,N.E. Ridge,True
Srikrishna,"May 14, 2006",38.0,Indian,India,Fall,8600m N.E. Ridge,True
David Sharp,"May 15, 2006",34.0,Asian Trekking,United Kingdom,Exposure and/or exhaustion,8600m N.E. Ridge,False
Tomas Olsson,"May 16, 2006",30.0,Adventure Consultants,Sweden,Fall,8700m Norton Couloir,False
Vitor Negrete,"May 19, 2006",38.0,Asian Trekking,Brazil,Exposure and/or exhaustion,"Camp III, 8200m N.E. Ridge",False
Igor Plyushkin,"May 22, 2006",38.0,Asian Trekking,Russia,Altitude sickness,7800m N.E. Ridge,True
Thomas Weber,"May 25, 2006",38.0,Asian Trekking,Germany,Altitude sickness,8700m N.E. Ridge,True
Dawa Sherpa,"April 26, 2007",38.0,Adventure Consultants,Nepal,Avalanche,7200m South Col,True
Shinichi Ishii,"May 17, 2007",38.0,Adventure Consultants,Japan,Avalanche,8650m,True
Libor Kozak,"May 17, 2007",38.0,Adventure Consultants,Czech,Avalanche,8300m,True
Yoshitomi Okura,"May 16, 2007",62.0,Japanese,Japan,Avalanche,N.E. Ridge,False
Maurizio Pierangelo,"May 17, 2007",46.0,Italian,Italy,Avalanche,N.E. Ridge,False
Oh Hee-joon,"May 17, 2007",37.0,South Korean,South Korea,Avalanche,S.W. Face,False
Lee Hyun-jo,"May 17, 2007",34.0,Adventure Consultants,South Korea,Avalanche,S.W. Face,False
Uwe Gianni Goltz,"May 21, 2008",44.0,Sherpas documentary team,Switzerland,Exhaustion,8000m South Col,False
Lhakpa Nuru,"May 7, 2009",38.0,Eco Everest Expedition,Nepal,Avalanche,Icefall,True
Věslav Chrzaszcz,"May 18, 2009",47.0,Eco Everest Expedition,Czech,Heart attack,Icefall,False
Wenhong Wu,"May 19, 2009",41.0,Adventure Consultants,China,Altitude sickness,8750m,False
Frank Ziebarth,"May 21, 2009",29.0,Adventure Consultants,Canada,Hypothermia and lack of oxygen,8700m North Summit,False
László Várkonyi,"April 26, 2010",54.0,Adventure Consultants,Hungary,Avalanche crevasse fall,North Col,False
Tom Jørgensen,"May 19, 2010",56.0,Adventure Consultants,Denmark,HACE,Icefall,False
Peter Kinloch,"May 26, 2010",28.0,International,United Kingdom,Exhaustion,8600m,False
Rick Hitch,"May 1, 2011",55.0,International,United States,Heart attack,7010m,False
Alston Mendonca,"May 4, 2011",55.0,International,India,Heart Break,7010m,False
Shailendra Kumar Upadhyaya,"May 9, 2011",82.0,Nepal,Nepal,Altitude sickness,Base Camp,True
Takashi Ozaki,"May 12, 2011",58.0,International,Japan,Altitude sickness,8400m The Balcony,False
John Delaney,"May 21, 2011",42.0,International,Ireland,Altitude sickness,8400m The Balcony,False
Hiroaki Kino,"September 15, 2011",48.0,Adventure Consultants,Japan,Cerebral apoplexy,Lower Icefall,False
Dawa Tenzing,"April 5, 2012",38.0,Himex,Nepal,Stroke (CVA),Icefall,True
Karsang Namgyal Sherpa,"April 19, 2012",38.0,Prestige Adventures,Nepal,Altitude sickness,Base Camp,True
Ramesh Gulve,"April 20, 2012",33.0,Pune team,India,Stroke,Base Camp,False
Namgyal Tshering Sherpa,"April 21, 2012",28.0,Adventure Consultants,Nepal,Fall into a crevasse,Camp I,False
Shriya Shah-Klorfine,"May 19, 2012",33.0,Utmost Adventures,Canada,Exhaustion,Below Balcony 8300m,False
Eberhard Schaaf,"May 19, 2012",61.0,Asian Trekking,Germany,Cerebral oedema,Hillary Step,False
Song Won-bin,"May 19, 2012",44.0,Korean Everest & Lhotse Expedition,South Korea,Fall,Balcony,False
Ha Wenyi,"May 20, 2012",55.0,Mountain Experience,China,Suspected altitude sickness,Balcony,False
Juan José Polo Carbayo,"May 20, 2012",43.0,Himalayan Guides,Spain,Exhaustion,8300m N.E. Ridge,False
Ralf D. Arnold,"May 20, 2012",43.0,Monterosa,Germany,Exhaustion and related complications after breaking leg at Second Step,8300m N.E. Ridge,False
Mingma Sherpa,"April 7, 2013",45.0,Destination Himalaya,Nepal,Falling into a crevasse,Between Camps I and II in the Western Cwm,False
DaRita Sherpa,"May 5, 2013",37.0,International Mountain Guides,Nepal,Suspected cardiac arrest,Camp III on south side,False
Sergey Ponomarev,"May 5, 2013",38.0,7 Summits Club Everest expedition,Russia,Suspected cardiac arrest,At 100m above ABC on north side (at about 6500m),True
Lobsang Sherpa,"May 7, 2013",22.0,Chinese expedition team,Nepal,Fall,Between Camp II and Camp III on descent from Camp IV (on south side),False
Alexey Bolotov,"May 15, 2013",50.0,Russian South-West Face expedition,Russia,Fall,5600m Icefall,False
Namgyal Sherpa,"May 17, 2013",35.0,Adventure Consultants,Nepal,Avalanche,8300m N.E. Ridge,False
Seo Sung-ho,"May 21, 2013",33.0,Zero to 8848 expedition,South Korea,Suspected altitude sickness,On descent (south side),False
Sajal Khaled (Mohammed Khaled Hossain),"May 21, 2013",35.0,Adventure Consultants,Bangladesh,Suspected altitude sickness,South Col Camp,False
Unknown climber,"May 22, 2013",38.0,Adventure Consultants,Nepal,Suspected altitude sickness,Camp IV (south side) in tent,True
Mingma Tenzing Sherpa,"April 2, 2014",38.0,Peak Freaks Expedition,Nepal,HAPE,Everest Base Camp,True
Mingma Nuru Sherpa,"April 18, 2014",46.0,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,False
Dorji Sherpa,"April 18, 2014",38.0,NBC Everest Expedition,Nepal,2014 Mount Everest Avalanche,Icefall,True
Ang Tshiri Sherpa,"April 18, 2014",38.0,AAI Everest Expedition 2014,Nepal,2014 Mount Everest Avalanche,Icefall,True
